"PropertyID","SALE TYPE","PROPERTY TYPE","CITY","STATE OR PROVINCE","ZIP OR POSTAL CODE","PRICE","BEDS","BATHS","LOCATION","SQUARE FEET","LOT SIZE","YEAR BUILT","$/SQUARE FEET","SOURCE","INTERESTED","LATITUDE","LONGITUDE"
34,"MLS Listing","Condo/Co-op","SAN JOSE","CA",95110,699800,2,2,"SAN JOSE",1133,1228819.79,2005,618,"MLSListings","Y",37.3640995,-121.9133706
35,"MLS Listing","Condo/Co-op","San Francisco","CA",94117,1450000,4,2.25,"North Panhandle",1706,1228819.79,1900,850,"San Francisco MLS","Y",37.775124,-122.439022
36,"MLS Listing","Condo/Co-op","SAN JOSE","CA",95110,540000,1,1,"SAN JOSE",655,1228819.79,2008,824,"MLSListings","Y",37.3350834,-121.8954751
37,"Redfin Data","Single Family Residential","Fremont","CA",94536,1475000,5,3,"Fremont",2433,8250,1966,606,"Coming Soon","Y",37.5640475,-122.0251861
38,"Redfin Data","Single Family Residential","Moraga","CA",94556,1250000,3,2,"Moraga",1381,11800,1958,905,"Coming Soon","Y",37.8504378,-122.1251248
39,"Redfin Data","Condo/Co-op","San Jose","CA",95111,499888,2,1.5,"San Jose",1008,600,1987,496,"Coming Soon","Y",37.288796,-121.842864
40,"Redfin Data","Single Family Residential","Oakley","CA",94561,675000,5,3,"Oakley",2677,5251,2015,252,"Coming Soon","Y",37.9923024,-121.6855637
41,"Redfin Data","Single Family Residential","Oakley","CA",94561,729998,4,3.5,"Oakley",3373,7215,2006,216,"Coming Soon","Y",37.96985,-121.7121981
42,"Redfin Data","Condo/Co-op","Pleasanton","CA",94588,669888,3,2,"Pleasanton",1257,1228819.79,1991,533,"Coming Soon","Y",37.6972662,-121.95094
43,"Redfin Data","Townhouse","Pleasanton","CA",94566,689999,2,2,"Pleasanton",941,2008,1971,733,"Coming Soon","Y",37.668467,-121.887117
44,"Redfin Data","Townhouse","Livermore","CA",94551,599888,4,2.5,"Livermore",1344,1197,1986,446,"Coming Soon","Y",37.711536,-121.748674
45,"Redfin Data","Condo/Co-op","San Jose","CA",95131,799888,3,2,"San Jose",1400,1228819.79,1997,571,"Coming Soon","Y",37.38691,-121.8879342
46,"MLS Listing","Single Family Residential","Concord","CA",94519,529000,2,1,"Concord",1109,5400,1942,477,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.9824007,-122.0261408
47,"MLS Listing","Townhouse","CUPERTINO","CA",95014,1698950,4,2.5,"CUPERTINO",1785,1964,1974,952,"MLSListings","Y",37.3218317,-122.0776082
48,"MLS Listing","Condo/Co-op","San Francisco","CA",94103,895000,1,1,"Mission Dolores",859,1228819.79,1983,1042,"San Francisco MLS","Y",37.7654623,-122.4249163
49,"MLS Listing","Single Family Residential","PALO ALTO","CA",94303,3398000,4,3.5,"PALO ALTO",3213,4099,2015,1058,"MLSListings","Y",37.4486649,-122.1250804
50,"MLS Listing","Single Family Residential","SANTA CLARA","CA",95051,1298000,4,2,"SANTA CLARA",1315,6300,1959,987,"MLSListings","Y",37.3606838,-121.9721722
51,"MLS Listing","Mobile/Manufactured Home","Union City","CA",94587,226626,2,2,"Union City",1120,1228819.79,2020,202,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.589044,-122.0514613
52,"MLS Listing","Condo/Co-op","Oakland","CA",94618,629000,2,2,"Rockridge",1000,1228819.79,1966,629,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.8375854,-122.2487085
53,"MLS Listing","Single Family Residential","Millbrae","CA",94030,1528000,4,1,"Lomita Hills",1678,5184,1946,911,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.6132284,-122.4080126
54,"MLS Listing","Single Family Residential","San Leandro","CA",94578,695000,3,2,"Floresta",1517,4889,1978,458,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.6997623,-122.1455761
55,"MLS Listing","Condo/Co-op","Walnut Creek","CA",94595,583500,2,2,"Rossmoor",1054,1228819.79,1965,554,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.8751931,-122.0804312
56,"MLS Listing","Single Family Residential","Dublin","CA",94568,1549999,4,3,"The Images",2932,12350,1991,529,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.7130819,-121.9501107
57,"MLS Listing","Condo/Co-op","Danville","CA",94526,665000,3,2,"Rubicon",1391,1228819.79,1972,478,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.8281961,-122.008157
58,"MLS Listing","Single Family Residential","Oakland","CA",94605,1695000,5,3.5,"Grass Valley",3306,23944,1957,513,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.7481119,-122.1333102
59,"MLS Listing","Single Family Residential","SUNNYVALE","CA",94086,1848000,3,2,"SUNNYVALE",1659,6620,1968,1114,"MLSListings","Y",37.3691903,-122.0113521
60,"MLS Listing","Townhouse","CAMPBELL","CA",95008,924900,2,2,"CAMPBELL",1467,880,1981,630,"MLSListings","Y",37.2750514,-121.9716168
61,"MLS Listing","Single Family Residential","MENLO PARK","CA",94025,2098000,3,2,"MENLO PARK",1140,5060,1947,1840,"MLSListings","Y",37.4557085,-122.1616328
62,"MLS Listing","Single Family Residential","Martinez","CA",94553,828000,6,3,"Martinez",2525,5000,1900,328,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",38.0175974,-122.1416725
63,"MLS Listing","Single Family Residential","Concord","CA",94521,879000,4,2.5,"Concord",2505,8700,1993,351,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.9664913,-121.9588425
64,"MLS Listing","Single Family Residential","LOS ALTOS","CA",94024,3998000,5,4.5,"LOS ALTOS",3007,10322,2019,1330,"MLSListings","Y",37.357949,-122.0781076
65,"MLS Listing","Single Family Residential","PACIFICA","CA",94044,799000,1,1,"PACIFICA",670,4000,1951,1193,"MLSListings","Y",37.6520909,-122.4872557
66,"MLS Listing","Single Family Residential","Concord","CA",94518,850000,3,2,"Concord",1771,10000,1968,480,"CSMAR","Y",37.9445508,-122.0402171
67,"MLS Listing","Single Family Residential","Walnut Creek","CA",94598,2099000,5,3.5,"Lakewood",3381,19980,1996,621,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.9020133,-122.0430506
68,"MLS Listing","Single Family Residential","Concord","CA",94521,615000,3,1,"Concord Village",1120,9000,1953,549,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.9689407,-121.9952731
69,"MLS Listing","Single Family Residential","SUNNYVALE","CA",94086,15900000,3,2,"SUNNYVALE",1559,5000,1943,10199,"MLSListings","Y",37.3709455,-122.0256301
70,"MLS Listing","Condo/Co-op","SAN JOSE","CA",95136,868000,3,2.5,"SAN JOSE",1674,1228819.79,2004,519,"MLSListings","Y",37.275713,-121.848168
71,"MLS Listing","Single Family Residential","Mill Valley","CA",94941,3499000,5,3.5,"Mill Valley",4467,14501,1991,783,"BAREIS","Y",37.8739107,-122.5416272
72,"MLS Listing","Single Family Residential","Kensington","CA",94707,1185000,3,2,"Lower Kensington",1816,4500,1938,653,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.9037193,-122.2848608
73,"MLS Listing","Condo/Co-op","San Francisco","CA",94110,695000,1,1,"Bernal Heights",735,1228819.79,1910,946,"San Francisco MLS","Y",37.7417396,-122.4212393
74,"MLS Listing","Multi-Family (2-4 Unit)","REDWOOD CITY","CA",94061,2388000,3,2.5,"REDWOOD CITY",5251,7503,1966,455,"MLSListings","Y",37.469982,-122.21797
75,"MLS Listing","Single Family Residential","Fremont","CA",94539,1888000,5,3,"Mission",2897,12130,1959,652,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.5307504,-121.9438225
76,"MLS Listing","Vacant Land","San Rafael","CA",94903,365000,3,2.5,"San Rafael",2091.53,89298,2020,772.32,"BAREIS","Y",37.9881018,-122.5331208
77,"MLS Listing","Townhouse","MILPITAS","CA",95035,999888,3,2.5,"MILPITAS",1633,766,2016,612,"MLSListings","Y",37.4054347,-121.8938612
78,"MLS Listing","Townhouse","SAN JOSE","CA",95125,899000,4,3.5,"SAN JOSE",1963,1270,2005,458,"MLSListings","Y",37.2880496,-121.8724434
79,"MLS Listing","Single Family Residential","Brentwood","CA",94513,629900,2,2.5,"Summerset 2",2156,7900,1998,292,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.9192581,-121.7263589
80,"MLS Listing","Mobile/Manufactured Home","Fremont","CA",94538,265000,3,2,"Southlake Mobile Home Park",1188,1228819.79,1998,223,"CRMLS","Y",37.5106662,-121.9623526
81,"MLS Listing","Single Family Residential","SOUTH SAN FRANCISCO","CA",94080,1099000,3,2,"SOUTH SAN FRANCISCO",1170,15264,1955,939,"MLSListings","Y",37.6511744,-122.4472325
82,"MLS Listing","Condo/Co-op","LOS ALTOS","CA",94022,1295000,2,2,"LOS ALTOS",1344,1228819.79,1974,964,"MLSListings","Y",37.3806664,-122.1168273
83,"MLS Listing","Condo/Co-op","Tiburon","CA",94920,2195000,2,2.5,"Tiburon",1792,4800,1974,1225,"BAREIS","Y",37.8757533,-122.4467023
84,"MLS Listing","Single Family Residential","Berkeley","CA",94708,850000,3,2,"Berkeley Hills",1747,8165,1963,487,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.8847655,-122.2471096
85,"MLS Listing","Multi-Family (2-4 Unit)","Oakland","CA",94619,629000,6,3,"Oakland",1292,2500,1956,487,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.7872198,-122.204413
86,"MLS Listing","Townhouse","San Leandro","CA",94578,939000,4,3.5,"Fairmont Terrace",1918,1228819.79,2019,490,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.7015086,-122.1071665
87,"MLS Listing","Vacant Land","SUNOL","CA",94586,1699000,3,2.5,"SUNOL",2091.53,237447,2020,772.32,"MLSListings","Y",37.606657,-121.850221
88,"MLS Listing","Single Family Residential","MOUNTAIN VIEW","CA",94041,2099000,3,2,"MOUNTAIN VIEW",1548,5398,1947,1356,"MLSListings","Y",37.385829,-122.0817708
89,"MLS Listing","Townhouse","CAMPBELL","CA",95008,828000,2,2,"CAMPBELL",1232,756,1979,672,"MLSListings","Y",37.286584,-121.959629
90,"MLS Listing","Multi-Family (2-4 Unit)","Oakland","CA",94602-1216,975000,5,3,"Lower Glenview",2319,5525,1919,420,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.8015472,-122.2256731
91,"MLS Listing","Single Family Residential","Pleasanton","CA",94588,1110000,3,2,"Val Vista",1560,6200,1970,712,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.6817279,-121.9085084
92,"MLS Listing","Condo/Co-op","SAN JOSE","CA",95131,639000,2,2,"SAN JOSE",922,1228819.79,1988,693,"MLSListings","Y",37.375319,-121.88208
93,"MLS Listing","Single Family Residential","Pittsburg","CA",94565,450000,3,1,"Pittsburg",1050,5750,1947,429,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",38.0099417,-121.8944374
94,"MLS Listing","Single Family Residential","Pittsburg","CA",94565,659945,3,2.5,"Pittsburg",1814,2397,2021,364,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",38.0233,-121.8753
95,"MLS Listing","Townhouse","SANTA CLARA","CA",95054,1348000,3,2.5,"SANTA CLARA",1700,1347,2005,793,"MLSListings","Y",37.4017289,-121.9496327
96,"MLS Listing","Condo/Co-op","San Francisco","CA",94109,1025000,2,2,"San Francisco",1090,1228819.79,2010,940,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.784275,-122.42228
97,"MLS Listing","Single Family Residential","SUNNYVALE","CA",94085,1175000,2,1,"SUNNYVALE",790,5200,1942,1487,"MLSListings","Y",37.3841385,-122.0277395
98,"MLS Listing","Condo/Co-op","SUNNYVALE","CA",94087,949888,3,2,"SUNNYVALE",1090,1228819.79,1987,871,"MLSListings","Y",37.3518298,-122.0150453
99,"MLS Listing","Single Family Residential","Benicia","CA",94510,1098000,4,2,"Benicia 2",2112,6251,1987,520,"BAREIS","Y",38.0581407,-122.1728739
100,"MLS Listing","Townhouse","SUNNYVALE","CA",94086,1399000,3,2,"SUNNYVALE",1895,1332,1991,738,"MLSListings","Y",37.383397,-122.0435396
101,"MLS Listing","Townhouse","SUNNYVALE","CA",94089,1399000,4,3.5,"SUNNYVALE",1725,1877,2007,811,"MLSListings","Y",37.3999585,-122.0138287
102,"MLS Listing","Single Family Residential","Mountain View","CA",94040,1880000,4,2.5,"Ca Mountain View",1790,2814,1996,1050,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.3994146,-122.1003207
103,"MLS Listing","Multi-Family (2-4 Unit)","MOUNTAIN VIEW","CA",94043,2700000,3,2.5,"MOUNTAIN VIEW",2880,11440,1963,938,"MLSListings","Y",37.4100162,-122.095948
104,"MLS Listing","Single Family Residential","Oakland","CA",94607,775000,3,2,"West Oakland",1997,2850,1883,388,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.8107505,-122.3019264
105,"MLS Listing","Multi-Family (2-4 Unit)","MOUNTAIN VIEW","CA",94043,2525000,3,2.5,"MOUNTAIN VIEW",2896,9373,1963,872,"MLSListings","Y",37.4098987,-122.095593
106,"MLS Listing","Multi-Family (2-4 Unit)","MOUNTAIN VIEW","CA",94043,2625000,3,2.5,"MOUNTAIN VIEW",2880,13184,1963,911,"MLSListings","Y",37.4098013,-122.0954161
107,"MLS Listing","Single Family Residential","Bay Point","CA",94565,549000,3,2.5,"Bay Pointe",1495,4452,1986,367,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",38.0280298,-121.9750601
108,"MLS Listing","Townhouse","Oakland","CA",94618,995000,3,2.5,"Rockridge Upper",1830,2277,1966,544,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.8394827,-122.2349155
109,"MLS Listing","Single Family Residential","Pittsburg","CA",94565,749000,6,3,"San Marco",3202,6636,2001,234,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",38.013498,-121.965029
110,"MLS Listing","Multi-Family (2-4 Unit)","MOUNTAIN VIEW","CA",94043,2625000,3,2.5,"MOUNTAIN VIEW",2880,13184,1963,911,"MLSListings","Y",37.4095233,-122.0955948
111,"MLS Listing","Multi-Family (2-4 Unit)","MOUNTAIN VIEW","CA",94043,2525000,3,2.5,"MOUNTAIN VIEW",2896,9373,1963,872,"MLSListings","Y",37.4095446,-122.0957723
112,"MLS Listing","Multi-Family (2-4 Unit)","MOUNTAIN VIEW","CA",94043,2700000,3,2.5,"MOUNTAIN VIEW",2880,14560,1963,938,"MLSListings","Y",37.4096887,-122.0961055
113,"MLS Listing","Single Family Residential","Oakley","CA",94561,874705,5,4.5,"Oakley",3297,6120,2021,265,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.980826,-121.70404
114,"MLS Listing","Single Family Residential","MOUNTAIN VIEW","CA",94043,2198000,5,4,"MOUNTAIN VIEW",2953,9752,1970,744,"MLSListings","Y",37.4031937,-122.0814979
115,"MLS Listing","Multi-Family (2-4 Unit)","SAN JOSE","CA",95126,2500000,3,2.5,"SAN JOSE",4116,8149,1978,607,"MLSListings","Y",37.3357995,-121.9255779
116,"MLS Listing","Condo/Co-op","San Ramon","CA",94582,868000,3,2.5,"Windemere",2140,1160,2009,406,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.7714969,-121.900682
117,"MLS Listing","Single Family Residential","San Ramon","CA",94582,1750000,4,3.5,"Windemere",3544,9082,2007,494,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.7515439,-121.8889241
118,"MLS Listing","Single Family Residential","REDWOOD CITY","CA",94062,1500000,2,1,"REDWOOD CITY",1090,6750,1923,1376,"MLSListings","Y",37.4887176,-122.2452483
119,"MLS Listing","Vacant Land","Oakland","CA",94603,140000,3,2.5,"Oakland",2091.53,15637,2020,772.32,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.845955,-122.205135
120,"MLS Listing","Single Family Residential","SAN JOSE","CA",95125,1498888,3,2,"SAN JOSE",1709,6841,1952,877,"MLSListings","Y",37.2946706,-121.8860117
121,"MLS Listing","Condo/Co-op","Oakland","CA",94611,599000,1,1,"Piedmont Avenue",720,49845,1974,832,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.8243896,-122.2508859
122,"MLS Listing","Single Family Residential","Oakland","CA",94619,599000,2,1,"High",989,3430,1920,606,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.7856594,-122.1989264
123,"MLS Listing","Multi-Family (5+ Unit)","San Francisco","CA",94109,7425000,13,2.5,"Lower Pacific Height",11340,6599,1900,655,"San Francisco MLS","Y",37.7878592,-122.4247597
124,"MLS Listing","Single Family Residential","Oakland","CA",94619,749000,2,1.5,"Maxwell  Park",1176,3952,1938,637,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.7831347,-122.2020411
125,"MLS Listing","Multi-Family (2-4 Unit)","Martinez","CA",94553,879000,4,2,"Alhambra  Valley",1767,8750,1965,497,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.9826505,-122.1250749
126,"MLS Listing","Single Family Residential","Pittsburg","CA",94565,837970,5,3,"Pittsburg",2384,6570,2021,351,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",38.0155378,-121.9767801
127,"MLS Listing","Single Family Residential","Fremont","CA",94538,1199900,5,2,"Irvington",1704,5000,1958,704,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.516968,-121.9545545
128,"MLS Listing","Single Family Residential","Pleasanton","CA",94588,920000,3,2,"Pleasanton Mdws",1136,7171,1970,810,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.6979548,-121.8719378
129,"MLS Listing","Single Family Residential","San Francisco","CA",94123,5625000,3,3.5,"Cow Hollow",3061,1877,1967,1838,"San Francisco MLS","Y",37.796336,-122.4467902
130,"MLS Listing","Single Family Residential","SOUTH SAN FRANCISCO","CA",94080,998000,3,2,"SOUTH SAN FRANCISCO",1050,4956,1956,950,"MLSListings","Y",37.6641032,-122.4404646
131,"MLS Listing","Single Family Residential","Livermore","CA",94551,775000,3,2,"Northside",1200,6175,1959,646,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.6911404,-121.7846088
132,"MLS Listing","Single Family Residential","SANTA CLARA","CA",95051,1299950,3,2,"SANTA CLARA",1166,5407,1954,1115,"MLSListings","Y",37.3438015,-121.9913197
133,"MLS Listing","Single Family Residential","SAN MATEO","CA",94402,1995000,3,2,"SAN MATEO",2030,7260,1951,983,"MLSListings","Y",37.5450851,-122.3310568
134,"MLS Listing","Single Family Residential","SAN JOSE","CA",95127,699000,3,2,"SAN JOSE",1150,4728,1920,608,"MLSListings","Y",37.3613088,-121.826925
135,"MLS Listing","Condo/Co-op","SANTA CLARA","CA",95051,619888,2,2,"SANTA CLARA",956,1228819.79,1971,648,"MLSListings","Y",37.343233,-121.980744
136,"MLS Listing","Single Family Residential","SAN JOSE","CA",95129,2388888,5,3,"SAN JOSE",2586,9210,1958,924,"MLSListings","Y",37.2946061,-122.0021136
137,"MLS Listing","Single Family Residential","SAN MATEO","CA",94401,1125000,3,1,"SAN MATEO",1240,8120,1902,907,"MLSListings","Y",37.5736485,-122.3291527
138,"MLS Listing","Townhouse","BELMONT","CA",94002,1225000,3,2.5,"BELMONT",1970,24378,1980,622,"MLSListings","Y",37.5088928,-122.2996313
139,"MLS Listing","Single Family Residential","CUPERTINO","CA",95014,2480000,4,3,"CUPERTINO",1914,6239,1960,1296,"MLSListings","Y",37.30674,-122.035022
140,"MLS Listing","Single Family Residential","MENLO PARK","CA",94025,1200000,2,1,"MENLO PARK",1170,7300,1950,1026,"MLSListings","Y",37.4771411,-122.1884625
141,"MLS Listing","Single Family Residential","Dublin","CA",94568,1490000,4,2.5,"Alameda County",2750,6970,2008,542,"BAREIS","Y",37.7032032,-121.9760819
142,"MLS Listing","Single Family Residential","Vallejo","CA",94590,399000,2,1,"Vallejo 4",1177,3250,1906,339,"BAREIS","Y",38.1077951,-122.25417
143,"MLS Listing","Single Family Residential","CUPERTINO","CA",95014,2788888,5,3.5,"CUPERTINO",2813,6931,1996,991,"MLSListings","Y",37.3199749,-122.0582428
144,"MLS Listing","Single Family Residential","San Francisco","CA",94117,2449000,3,2.5,"Buena Vista Park",2058,2495,1914,1190,"San Francisco MLS","Y",37.762412,-122.4466789
145,"MLS Listing","Vacant Land","San Francisco","CA",94124,198000,3,2.5,"Silver Terrace",2091.53,2495,2020,772.32,"San Francisco MLS","Y",37.7354025,-122.3945509
146,"MLS Listing","Condo/Co-op","San Francisco","CA",94123,1750000,2,1.5,"Marina",1453,1228819.79,1924,1204,"San Francisco MLS","Y",37.8025949,-122.427524
147,"MLS Listing","Single Family Residential","PACIFICA","CA",94044,1875000,4,2,"PACIFICA",1840,5355,1964,1019,"MLSListings","Y",37.5936329,-122.5098918
148,"MLS Listing","Single Family Residential","Dublin","CA",94568,1290000,4,3,"Dublin",2159,3010,2016,597,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.7119867,-121.8460933
149,"MLS Listing","Single Family Residential","Concord","CA",94518-1416,599950,3,1,"Concord",1087,7650,1953,552,"bridgeMLS, Bay East AOR, or Contra Costa AOR","Y",37.9670815,-122.0213003
